Validation_MSE,Validation_MAPE
26154.71875,0.041761867702007294
56309.90234375,0.06012934446334839
23086.1171875,0.03309980407357216
26769.375,0.03459344059228897
24829.888671875,0.040865156799554825
30572.62890625,0.03722337260842323
23061.59765625,0.03626203536987305
26666.810546875,0.043666061013936996
20092.890625,0.03122338280081749
37408.265625,0.0416201651096344
30609.875,0.03887336328625679
49746.5078125,0.0496770441532135
25628.951171875,0.03678334504365921
29773.69921875,0.03653888404369354
24155.662109375,0.03473839536309242
62201.75,0.047679390758275986
38299.3125,0.04347733408212662
30648.0703125,0.04356531426310539
23163.80078125,0.031116588041186333
69998.484375,0.05256196856498718
40754.546875,0.0355970673263073
37188.1171875,0.03340340405702591
32521.40234375,0.043095286935567856
53964.3046875,0.06639562547206879
22440.466796875,0.032275620847940445
26547.7109375,0.03419168293476105
32716.546875,0.04214043170213699
38263.1875,0.03876576945185661
89448.609375,0.07352717220783234
100599.59375,0.06474142521619797
47675.2578125,0.04431484639644623
54181.015625,0.04845636710524559
39284.03125,0.046149592846632004
27331.41796875,0.03179299086332321
21989.86328125,0.03438630327582359
34894.01171875,0.04218676686286926
23065.0859375,0.03090202622115612
44238.52734375,0.046173881739377975
29254.90625,0.047873761504888535
22406.94921875,0.0351063534617424
65569.1171875,0.0552256777882576
20458.95703125,0.02454492077231407
34533.23046875,0.04568149149417877
61858.5078125,0.06244373321533203
31404.123046875,0.04670589417219162
37539.8125,0.052146341651678085
33041.1875,0.04667302593588829
22690.9453125,0.03416701406240463
27466.1328125,0.035778291523456573
27632.7890625,0.03606121242046356
51227.2109375,0.055697038769721985
12523.4521484375,0.027395684272050858
26560.138671875,0.03835625946521759
27900.6953125,0.040925633162260056
43357.5546875,0.054850488901138306
57033.9921875,0.05390255153179169
51067.18359375,0.05047474429011345
72574.875,0.060410402715206146
50831.1015625,0.04647885262966156
32283.37890625,0.03862340375781059
35680.41015625,0.047863349318504333
32022.1796875,0.04252954572439194
41577.15625,0.04639938101172447
59857.53125,0.053529947996139526
57422.04296875,0.053654588758945465
49993.8828125,0.04960565268993378
76730.65625,0.06597764045000076
41360.4375,0.0453655943274498
27433.107421875,0.04435206949710846
41669.3671875,0.04749533161520958
31966.505859375,0.042871907353401184
26834.552734375,0.04347363859415054
13936.1826171875,0.030166126787662506
18040.060546875,0.038003578782081604
44469.04296875,0.05631661042571068
23984.1015625,0.03857341408729553
21686.546875,0.03642954304814339
20610.08203125,0.03313285484910011
31194.19921875,0.045187171548604965
28456.498046875,0.037025466561317444
28947.70703125,0.044091325253248215
52609.88671875,0.06779768317937851
30420.04296875,0.04809832572937012
23884.078125,0.04131755605340004
52360.69921875,0.06083446741104126
34310.62890625,0.04760821908712387
30204.953125,0.03791548311710358
15192.435546875,0.03773145377635956
34299.34375,0.05096593126654625
43492.421875,0.04957275092601776
57555.94921875,0.05844004452228546
26363.7734375,0.04902832955121994
45557.43359375,0.06245952099561691
36778.37109375,0.04838290438055992
62412.84375,0.0681408941745758
11600.345703125,0.03814402222633362
35018.90625,0.05221866816282272
55259.625,0.07160881161689758
88632.515625,0.07819230854511261
38587.9453125,0.051511846482753754
21533.890625,0.04222194477915764
26394.9140625,0.04602951556444168
15504.443359375,0.04214192181825638
34216.52734375,0.05195550248026848
41645.38671875,0.057634755969047546
45094.13671875,0.06512995809316635
29070.451171875,0.05175977945327759
82337.953125,0.07960610091686249
36322.2421875,0.05539137125015259
30992.919921875,0.0566086620092392
15251.650390625,0.03257329389452934
40560.54296875,0.049451347440481186
74573.8203125,0.07207366824150085
37257.41796875,0.05448826402425766
18965.330078125,0.03898713365197182
45966.68359375,0.06163948029279709
25575.85546875,0.04974077269434929
26841.943359375,0.048469558358192444
15435.197265625,0.029874615371227264
28514.88671875,0.04482489824295044
23209.638671875,0.043115388602018356
20397.255859375,0.04140729457139969
26743.296875,0.057034190744161606
20180.3046875,0.04237492382526398
25247.607421875,0.04470009729266167
19302.26953125,0.03970088064670563
48596.515625,0.05989719554781914
21387.24609375,0.0439637117087841
17771.125,0.033438779413700104
58800.46484375,0.07722833752632141
38570.9296875,0.055560365319252014
30172.013671875,0.043914444744586945
14727.7734375,0.034119706600904465
26822.08203125,0.04590262472629547
24268.53125,0.042447786778211594
25625.75390625,0.04332005977630615
58324.32421875,0.07259757071733475
22433.1015625,0.04923605918884277
84283.5546875,0.06343255937099457
66565.078125,0.07001964747905731
33734.37890625,0.0505046546459198
27569.904296875,0.04788096249103546
133192.34375,0.08063781261444092
83431.1796875,0.07161009311676025
90406.4375,0.06884850561618805
475228.375,0.1745254248380661
167105.09375,0.08952325582504272
25370.044921875,0.050263144075870514
14532.2841796875,0.03712321072816849
55591.7890625,0.05780331790447235
64757.01171875,0.06906542181968689
18805.5234375,0.03961881995201111
58120.4375,0.06470927596092224
32396.865234375,0.05076095461845398
25442.6328125,0.042620256543159485
46075.8046875,0.049892108887434006
49622.734375,0.053945496678352356
68110.4765625,0.0655633807182312
29255.66796875,0.04582486301660538
39247.0078125,0.059033047407865524
50755.21484375,0.051264893263578415
40168.96875,0.048809148371219635
28457.03125,0.04815953969955444
53053.4140625,0.06694263964891434
37258.68359375,0.05478576943278313
31848.3046875,0.055081211030483246
39030.49609375,0.048589013516902924
32709.55078125,0.0457826666533947
13946.130859375,0.030288774520158768
46947.96484375,0.048611726611852646
26368.0,0.03811948746442795
85451.53125,0.07688963413238525
112326.9296875,0.08587010204792023
100110.46875,0.080460324883461
51069.6328125,0.04561523348093033
66616.640625,0.046079352498054504
119803.109375,0.0590033158659935
182237.96875,0.07292280346155167
90642.6796875,0.0611189603805542
44389.1953125,0.05119571089744568
87549.3984375,0.06687431037425995
43799.1875,0.043975941836833954
77582.2421875,0.04332447052001953
326688.09375,0.10628514736890793
167532.34375,0.07456639409065247
40592.26171875,0.044024690985679626
23620.5703125,0.03014981374144554
49654.94921875,0.05718643218278885
44237.38671875,0.04401341825723648
59851.73046875,0.052706003189086914
96874.859375,0.057439133524894714
42225.171875,0.035560429096221924
92169.9609375,0.062220849096775055
102748.4609375,0.054509684443473816
77794.53125,0.0565405935049057
32273.708984375,0.0343322828412056
58941.453125,0.04421570897102356
67719.625,0.04603260010480881
110602.640625,0.06450120359659195
46243.4609375,0.03513859212398529
114339.296875,0.05485444515943527
112410.2734375,0.05478790029883385
78020.15625,0.06651915609836578
28330.703125,0.04016764461994171
42379.3984375,0.04568180441856384
25640.703125,0.03533774986863136
42158.3203125,0.04073605686426163
63963.640625,0.04078564792871475
46283.875,0.03891727328300476
85475.953125,0.04292600601911545
41950.125,0.03488096594810486
45619.2890625,0.03923424705862999
54880.5234375,0.05235164985060692
26002.32421875,0.03308878466486931
73306.09375,0.04768268018960953
50099.28125,0.046299077570438385
49139.84375,0.048200823366642
73966.578125,0.055728137493133545
26418.255859375,0.037760790437459946
68420.96875,0.05727171525359154
41620.90234375,0.04520980268716812
23643.05078125,0.03994379937648773
16817.55859375,0.03266707807779312
46438.953125,0.05224698781967163
23354.771484375,0.02578767202794552
17659.77734375,0.0283102598041296
43931.1875,0.045007817447185516
85648.34375,0.05590040981769562
128946.78125,0.0761774480342865
82028.5,0.05524611100554466
46275.265625,0.04178933799266815
32969.9296875,0.03465668112039566
31867.09765625,0.0306403785943985
24400.873046875,0.03340398520231247
28322.19921875,0.04047076031565666
32637.060546875,0.05601385980844498
23932.1875,0.03788703680038452
21950.37890625,0.035841621458530426
8110.46875,0.02553309127688408
59287.94921875,0.050948794931173325
42436.7578125,0.03623106703162193
78320.1328125,0.06536537408828735
41188.01171875,0.05004148185253143
151588.078125,0.09567054361104965
57251.734375,0.05938123166561127
34912.0,0.04354243725538254
49583.90234375,0.0579589307308197
69589.015625,0.06663177907466888
25597.22265625,0.05394541472196579
34044.265625,0.06474003195762634
43705.4375,0.05815420299768448
38392.7578125,0.04672056436538696
79259.5859375,0.06605270504951477
43705.671875,0.05106933414936066
36778.2265625,0.055959321558475494
30152.3203125,0.054655399173498154
25955.06640625,0.0458967387676239
17894.515625,0.03491036966443062
31986.31640625,0.047862645238637924
35219.1015625,0.05276823788881302
29021.529296875,0.05075394734740257
40667.0,0.055015187710523605
20746.76171875,0.04530609771609306
28009.2421875,0.046560727059841156
91004.6796875,0.06631819903850555
90171.984375,0.06940753757953644
23897.5546875,0.04434547573328018
21015.26171875,0.037190377712249756
13138.87890625,0.033047474920749664
27940.0703125,0.05077044293284416
82955.0703125,0.07496918737888336
38999.625,0.054324373602867126
33300.55078125,0.045956745743751526
194748.59375,0.08505977690219879
43750.5703125,0.05335985869169235
24877.9296875,0.04514990746974945
24150.341796875,0.04949607700109482
19456.96484375,0.04547349736094475
154723.59375,0.09343726933002472
41232.90625,0.05969179421663284
23805.9453125,0.04272827133536339
25596.8515625,0.035597559064626694
16592.9375,0.036961816251277924
11030.0498046875,0.03370797634124756
30089.0,0.05196736380457878
29573.826171875,0.05149039253592491
24939.99609375,0.046808239072561264
16166.271484375,0.03535223379731178
25902.474609375,0.04467306658625603
40151.9140625,0.05555420741438866
26962.01171875,0.05376599729061127
20509.263671875,0.04450608789920807
17915.67578125,0.039690520614385605
22724.255859375,0.03740089014172554
52917.1015625,0.05812966823577881
25942.62890625,0.04957043379545212
15684.7880859375,0.04116390272974968
37506.6484375,0.058030031621456146
24228.08203125,0.04762895405292511
20511.6484375,0.04311539977788925
37386.03125,0.05302536115050316
20636.671875,0.041298817843198776
11045.400390625,0.033053528517484665
83470.4140625,0.09348120540380478
43069.69921875,0.06646569818258286
33176.6796875,0.05333781987428665
26217.302734375,0.04730859026312828
26647.62109375,0.044121500104665756
22624.99609375,0.039937566965818405
15588.25390625,0.03351779282093048
39347.62109375,0.04719958454370499
57646.48046875,0.06487338244915009
39564.8203125,0.054850250482559204
15610.2890625,0.03580881655216217
41648.0703125,0.05360117554664612
48572.60546875,0.05046818405389786
42901.5,0.04811842739582062
35807.234375,0.04518710821866989
40051.4609375,0.04792898893356323
21900.01953125,0.0319826602935791
18554.708984375,0.03780192881822586
17112.6796875,0.03560768812894821
14051.6435546875,0.028226656839251518
53464.53125,0.05542197823524475
15528.1787109375,0.030376791954040527
30300.849609375,0.04291790723800659
19601.42578125,0.04011065140366554
50647.5234375,0.060165464878082275
73541.984375,0.0618521086871624
37841.5859375,0.04669741913676262
81714.1796875,0.06327486038208008
100712.3359375,0.07921960949897766
64707.203125,0.06891997903585434
36201.5390625,0.049757879227399826
9797.033203125,0.024647532030940056
15847.599609375,0.026048561558127403
34407.87109375,0.03852533549070358
41678.0078125,0.03973997384309769
28310.82421875,0.03194344788789749
38156.6796875,0.03536473214626312
32344.54296875,0.04202604293823242
29252.748046875,0.04200766980648041
54861.578125,0.05489685386419296
55269.51171875,0.05480562150478363
23124.828125,0.03181682527065277
25284.984375,0.035426147282123566
23126.765625,0.0393112488090992
109284.484375,0.10188016295433044
71647.953125,0.06998347491025925
114144.25,0.08109581470489502
17906.90625,0.025242816656827927
46956.3125,0.04605546593666077
21809.6484375,0.029413357377052307
55643.5625,0.04523830860853195
28405.044921875,0.043239444494247437
41624.71484375,0.04971395060420036
29610.703125,0.04496392235159874
171344.125,0.10580848157405853
125799.9921875,0.06727934628725052
84035.6875,0.06720061600208282
31425.73828125,0.04339317977428436
18046.05859375,0.03278874605894089
54930.33984375,0.044505681842565536
57198.140625,0.05721325799822807
